search_term_cleaned,product_title_cleaned,product_description_nadj,product_title_nadj,product_description_nadj,product_brand,dominant_words
smart light bulb  ,feit electr 90w equival warm white par38 dimmabl homebrit bluetooth smart led flood light bulb  ,,feit electric equivalent warm white par38 dimmable homebrite bluetooth smart led flood light bulb ,,Unbranded,Bulb
cabl puller  ,3k cabl puller (no motor) includ adaptor pc100  ,,cable puller no motor adaptors pc100 ,,Unbranded,Adaptors PC100
leaf green  rustoleum spray paint  ,rust-oleum profession 15 oz. 2x fluoresc green mark spray paint (6-pack)  ,,rust-oleum professional oz fluorescent green marking spray paint ,,rust-oleum profession  ,Paint
show price washer dryer  ,frigidair high-effici 3.8 cu. ft. top load washer 5.5 cu. ft. electr dryer white  ,,frigidaire high-efficiency cu ft. top load washer cu ft. electric dryer white ,,frigidair  ,Washer Dryer White
first alert 5120  ,first alert plug-in carbon monoxid alarm digit display batteri backup  ,,alert plug-in carbon monoxide alarm digital display battery backup ,,first alert  ,Alarm Display Backup
taladro  ,qep thinset grout mortar power mixer paddl  ,,qep thinset grout mortar power mixer paddle ,,qep  ,Grout Mixer Paddle
wast  ,toter 96 gal. red wheel regul medic wast trash caster  ,,gal red regulated medical waste trash casters ,,Unbranded,Trash Casters
screw driver  ,huski precis ratchet screwdriv set (23-piece)  ,,husky precision ratcheting screwdriver set ,,huski  ,Set
6 ft lamin countertop  ,hampton bay valencia 72 in. lamin countertop jewel coral  ,,hampton bay valencia laminate countertop jeweled coral ,,hampton bay  ,Valencia Countertop Coral
8 light  ,hampton bay 12-volt low-voltag 8-light stainless steel led deck light kit  ,,hampton bay 12-volt low-voltage 8-light stainless steel led deck light kit ,,hampton bay  ,Kit
clear glass shower door  ,delta 31 in. x 64 in. pivot shower door glass panel clear  ,,delta x shower door glass panel clear ,,delta  , x Panel Clear
light receptacl  ,merola tile contempo greek key double-gang toggl duplex receptacl combin wall plate - light travertin  ,,merola tile contempo greek key double-gang toggle duplex receptacle combination wall plate light travertine ,,Unbranded,Toggle Travertine
lithium trimmer  ,ryobi 24 in. 40-volt lithium-ion cordless hedg trimmer  ,,ryobi 40-volt lithium-ion cordless hedge trimmer ,,ryobi  , Trimmer
bath wall tile champagn  ,merola tile conchella subway white 12-1/4 in. x 12-1/2 in. x 3 mm natur seashel mosaic tile  ,,merola tile conchella subway white x 12-1/2 mm natural seashell mosaic tile ,,merola tile  ,White 12-1/2 Tile
red floor tile  ,rust-oleum epoxyshield 2 gal. tile red semi-gloss profession floor coat kit (2-pack)  ,,rust-oleum epoxyshield gal tile red semi-gloss professional floor coating kit ,,rust-oleum epoxyshield  ,Kit
2x4 top bottom rail  ,ez handrail glass rail top bottom bronz post mount  ,,ez handrail glass railing top bottom bronze post mounts ,,ez handrail  ,Top Mounts
asphalt gap repair  ,delta cam assembl - faucet repair part  ,,delta cam assembly faucet repair part ,,delta  ,Part
power vent water heater  ,marey 3 gpm electr tankless water heater power pack - 220-volt  ,,marey gpm electric tankless water heater power pack 220-volt ,,marey  ,220-Volt
2 1/2in conduit pvc  ,carlon 2 in. pvc double-mount conduit support strap (case 10  ,,carlon pvc double-mount conduit support strap case ,,carlon  , Case Case
lift strap  ,nielsen product shoulder dolli multi-strap set (3-pack)  ,,nielsen products shoulder dolly multi-strap set ,,nielsen product  ,Set
column post  ,5-1/4 in. x 5-1/4 in. x 8 ft. porch column  ,,5-1/4 x 5-1/4 ft. porch column ,,unbrand  , 5-1/4 Column
glacier bay tub knob  ,glacier bay aragon 2-handl 1-spray tub shower faucet chrome  ,,glacier bay aragon 2-handle 1-spray tub shower faucet chrome ,,glacier bay  ,Tub Faucet Chrome
grey rug  ,safavieh durapad grey 8 ft. x 10 ft. non-slip hard surfac rug pad  ,,safavieh durapad grey ft. ft. non-slip hard surface rug pad ,,safavieh  ,Pad
timberlak  ,bob timberlak heritag blue ridg fern light camel 5 ft. 3 in. x 7 ft. 10 in. area rug  ,,bob timberlake heritage blue ridge ferns light camel ft. ft. area rug ,,Unbranded,ft. ft. Rug
1 x 8 wood  ,1 in. x 8 in. x 3 ft. poplar  ,,x ft. poplar ,,Unbranded, x Poplar
stainless steel sink  ,houzer eston seri undermount stainless steel 17.8 in. doubl bowl kitchen sink  ,,houzer eston series undermount stainless steel double bowl kitchen sink ,,houzer  ,Steel Sink
propan turkey fryer  ,"king kooker 105,000 btu tripod propan ga outdoor cooker baffl  ",,kooker btu tripod propane gas outdoor cooker baffle ,,king kooker  ,Cooker Baffle
wyndham vaniti without top  ,wyndham collect sheffield 72 in. doubl vaniti white marbl vaniti top carrara white  ,,wyndham collection sheffield double vanity white marble vanity top carrara white ,,wyndham collect  ,Sheffield Vanity White Top White
11 brush nickel  ,everbilt 11.25 in. x 1.05 in. brush nickel shelf bracket  ,,everbilt x brushed nickel shelf bracket ,,Unbranded, x Bracket
chain link fenc post support  ,yardgard 5/16 in. x 1-1/4 in. galvan carriag bolt (20-pack)  ,,x 1-1/4 galvanized carriage bolt ,,yardgard  , 1-1/4 Bolt
dvr  ,"defend digit wireless dvr secur system 7 in. lcd monitor, sd card record 2 long rang night vision cam  ",,defender digital wireless dvr security system lcd monitor sd card recording long range night vision cams ,,defend  ,System System Recording Cams
playground swing  ,swing-n-slid playset green regular duti swing seat  ,,swing-n-slide playsets green regular duty swing seat ,,swing-n-slid playset  ,Seat
12 v 5.0 amp  ,lithonia light 12-volt 5-amp replac batteri  ,,lithonia lighting 12-volt 5-amp replacement battery ,,lithonia  ,Battery
12v replac bulb  ,lithonia light 12-volt 5-amp replac batteri  ,,lithonia lighting 12-volt 5-amp replacement battery ,,lithonia  ,Battery
2 in. x 12 in.  ,simpson strong-ti 2 in. x 12 in. 14-gaug face mount joist hanger  ,,simpson strong-tie x 14-gauge face mount joist hanger ,,Unbranded,Strong-Tie x Hanger
varathan spray  ,varathan 11.25 oz. clear gloss water-bas interior polyurethan spray paint (6-pack)  ,,varathane oz clear water-based interior polyurethane spray paint ,,Unbranded,Paint
small shed  ,suncast 195 gal. backyard oasi vertic deck box  ,,gal backyard oasis vertical deck box ,,suncast  ,Box
vessel vaniti  ,american standard 25 in. marbl vaniti top beig without basin  ,,american standard marble vanity top beige basin ,,Unbranded,Standard Top Basin
bed frame queen  ,pri all-in-1 queen-siz tuft headboard bed frame brown  ,,pri all-in-1 queen-size tuft headboard bed frame brown ,,pri  ,Headboard Frame Brown
wood fenc gate0  ,signatur develop 3 ft. w x 6 ft. h western red cedar flat top horizont lattic fenc gate  ,,signature development ft. w ft. h western red cedar flat top horizontal lattice fence gate ,,signatur develop  ,Gate
water heater enclosur  ,intermat t100 seri 40 amp 125 volt dpst 24 hr electromechan time switch indoor enclosur  ,,intermatic t100 series amp volt dpst hr electromechanical time switch indoor enclosure ,,intermat  ,Switch Enclosure
plexigla 18' x 24'  ,18 in. x 24 in. tradit 1 pvc decor backsplash panel crosshatch silver  ,,x traditional pvc decorative backsplash panel crosshatch silver ,,unbrand  , x Panel Silver
